city,lat,lng,country
Karachi,24.86,67.01,Pakistan
Lahore,31.5497,74.3436,Pakistan
Kotla Qasim Khan,32.5833,73.75,Pakistan
Faisalabad,31.4167,73.0911,Pakistan
Rawalpindi,33.6,73.0333,Pakistan
Gujranwala,32.1567,74.19,Pakistan
Peshawar,34.0144,71.5675,Pakistan
Multan,30.1978,71.4697,Pakistan
Hyderabad City,25.3792,68.3683,Pakistan
Islamabad,33.6931,73.0639,Pakistan
Quetta,30.1833,67.0,Pakistan
Kumila,35.25,73.5,Pakistan
Bahawalpur,29.3956,71.6836,Pakistan
Parachinar,33.9,70.1,Pakistan
Sargodha,32.0836,72.6711,Pakistan
Sialkot City,32.4925,74.5311,Pakistan
Sukkur,27.7061,68.8483,Pakistan
Pindi Bhattian,31.8958,73.2761,Pakistan
Larkana,27.5583,68.2111,Pakistan
Chiniot,31.7194,72.9842,Pakistan
Shekhupura,31.7111,73.9878,Pakistan
Shah Latif Town,24.8806,67.1625,Pakistan
Sanghar,26.0442,68.9536,Pakistan
Rahimyar Khan,28.42,70.3,Pakistan
Jhang City,31.2694,72.3161,Pakistan
Dera Ghazi Khan,30.0331,70.64,Pakistan
Gujrat,32.5739,74.0789,Pakistan
Cantonment,31.5167,74.3833,Pakistan
Bhawana,31.5661,72.6461,Pakistan
Malakwal,32.5531,73.2067,Pakistan
Mardan,34.2012,72.0258,Pakistan
Thari Mir Wah,27.0683,68.6023,Pakistan
Khipro,25.823,69.377,Pakistan
Chak Jhumra,31.5667,73.1833,Pakistan
Hafizabad,32.0714,73.6878,Pakistan
Kasur,31.1167,74.45,Pakistan
Khairpur Tamewah,29.58,72.2328,Pakistan
Chakwal,32.9303,72.8556,Pakistan
Khanewal,30.3,71.9333,Pakistan
Marot,28.51,71.5,Pakistan
Mingaora,34.7717,72.36,Pakistan
Mehrabpur,27.0994,68.4208,Pakistan
Turbat,26.0042,63.0606,Pakistan
Khwazakhela,34.9333,72.4667,Pakistan
Nawabshah,26.2442,68.41,Pakistan
Skardu,35.2903,75.6444,Pakistan
Kotri,25.374,68.3013,Pakistan
Sahiwal,30.6611,73.1083,Pakistan
Mirpur Khas,25.525,69.0158,Pakistan
Okara,30.8092,73.4536,Pakistan
Thatta,24.7461,67.9244,Pakistan
Chilas,35.4194,74.0944,Pakistan
Mirpur Bhtoro,24.73,68.25,Pakistan
Mandi Burewala,30.1592,72.6817,Pakistan
Jacobabad,28.2769,68.4514,Pakistan
Jhelum,32.9425,73.7256,Pakistan
Saddiqabad,28.3006,70.1302,Pakistan
Kuchlagh,31.0833,67.1056,Pakistan
Khapalu,35.1667,76.3333,Pakistan
Talhar,24.8833,68.8167,Pakistan
Kohat,33.5833,71.4333,Pakistan
Muridke,31.802,74.255,Pakistan
Muzaffargarh,30.0694,71.1942,Pakistan
Ziarat,30.381,67.727,Pakistan
Khanpur,28.65,70.68,Pakistan
Gojra,31.15,72.6833,Pakistan
Panjgur,26.9683,64.1014,Pakistan
Mandi Bahauddin,32.5797,73.4814,Pakistan
Eminabad,32.0422,74.26,Pakistan
Jaranwala,31.3333,73.4167,Pakistan
Abbottabad,34.1558,73.2194,Pakistan
Dadu,26.7325,67.7792,Pakistan
Khairpur Mir’s,27.5333,68.7667,Pakistan
