mandi,item,category,min_price,max_price,retail_price,unit
لاہور,بنولا,Grain,2300.0,2500.0,,Mann
لاہور,جؤ,Grain,50.0,55.0,,KG
لاہور,برسیم,Grain,15000.0,19500.0,,Mann
لاہور,شکر,Grain,170.0,185.0,,KG
لاہور,کنولا,Grain,6450.0,6800.0,,Mann
لاہور,کپاس,Grain,8600.0,9600.0,,Mann
لاہور,دیسی چینی,Grain,120.0,130.0,,KG
لاہور,سونف,Grain,720.0,800.0,,KG
لاہور,سونف درجہ اول,Grain,950.0,1020.0,,KG
لاہور,سونف درجہ دوئم,Grain,850.0,910.0,,KG
لاہور,السی,Grain,338.0,365.0,,KG
لاہور,کالا چنا,Grain,280.0,300.0,,KG
لاہور,چنا دیسی,Grain,124.0,128.0,,KG
لاہور,بیسن,Grain,290.0,312.0,,KG
لاہور,چنا دال,Grain,270.0,300.0,,KG
لاہور,چنا سفید,Grain,280.0,305.0,,KG
لاہور,گڑ,Grain,175.0,197.0,,KG
لاہور,کھل بنولا,Grain,2650.0,2800.0,,Mann
لاہور,کھل سرسوں,Grain,2000.0,2200.0,,Mann
لاہور,مکئی,Grain,1920.0,2400.0,,Mann
لاہور,مکئی سایلیج,Grain,18.0,23.0,,KG
لاہور,ماش,Grain,380.0,395.0,,KG
لاہور,ماش دال دیسی,Grain,160.0,170.0,,KG
لاہور,ماش دال امپورٹڈ,Grain,530.0,565.0,,KG
لاہور,مسور دال دیسی,Grain,225.0,230.0,,KG
لاہور,مسور دال امپورٹڈ,Grain,255.0,276.0,,KG
لاہور,مسور ثابت دیسی,Grain,155.0,160.0,,KG
لاہور,مسور ثابت امپورٹڈ,Grain,110.0,120.0,,KG
لاہور,باجرہ,Grain,4400.0,4720.0,,Mann
لاہور,مونگ,Grain,280.0,292.0,,KG
لاہور,مونگ دال,Grain,340.0,355.0,,KG
لاہور,سرسوں,Grain,5600.0,6200.0,,Mann
لاہور,جوی,Grain,90.0,100.0,,KG
لاہور,پیڈی باسمتی سپر,Grain,5100.0,5600.0,,Mann
لاہور,پیڈی اری 6,Grain,1980.0,2300.0,,Mann
لاہور,پیڈی اری 9,Grain,2400.0,2550.0,,Mann
لاہور,پیڈی کائنات,Grain,4150.0,4750.0,,Mann
لاہور,سیلا باسمتی,Grain,245.0,255.0,,KG
لاہور,سیلا باسمتی سپر,Grain,255.0,266.0,,KG
لاہور,سیلا اری 9,Grain,70.0,75.0,,KG
لاہور,سیلا کائنات,Grain,238.0,255.0,,KG
لاہور,مونگ پھلی,Grain,330.0,450.0,,KG
لاہور,لال لوبیا,Grain,510.0,560.0,,KG
لاہور,چاول باسمتی,Grain,225.0,236.0,,KG
لاہور,چاول باسمتی سپر,Grain,235.0,250.0,,KG
لاہور,چاول اری 6,Grain,164.0,175.0,,KG
لاہور,چاول اری 9,Grain,180.0,192.0,,KG
لاہور,چاول کائنات,Grain,225.0,238.0,,KG
لاہور,صنم سوکھی لال مرچ,Grain,19000.0,28000.0,,Mann
لاہور,تل,Grain,13000.0,15500.0,,Mann
لاہور,سورگم,Grain,4600.0,5750.0,,Mann
لاہور,سورج مکھی,Grain,5850.0,6800.0,,Mann
لاہور,تارامیرا,Grain,100.0,110.0,,KG
لاہور,گندم,Grain,2270.0,2420.0,,Mann
لاہور,توڑی,Grain,1000.0,1070.0,,Mann
لاہور,چینی,Grain,160.0,167.0,,KG
شیخوپورہ,بنولا,Grain,2200.0,2400.0,2800.0,Mann
شیخوپورہ,برسیم,Grain,14000.0,19000.0,22000.0,Mann
شیخوپورہ,شکر,Grain,155.0,190.0,260.0,KG
شیخوپورہ,کنولا,Grain,6200.0,6500.0,6750.0,Mann
شیخوپورہ,کپاس,Grain,7950.0,8450.0,9050.0,Mann
شیخوپورہ,دیسی گھی,Grain,1280.0,1400.0,1700.0,KG
شیخوپورہ,سونف,Grain,655.0,705.0,825.0,KG
شیخوپورہ,سونف درجہ اول,Grain,920.0,960.0,1140.0,KG
شیخوپورہ,سونف درجہ دوئم,Grain,835.0,900.0,1000.0,KG
شیخوپورہ,السی,Grain,360.0,372.0,440.0,KG
شیخوپورہ,کالا چنا,Grain,260.0,276.0,350.0,KG
شیخوپورہ,بیسن,Grain,275.0,305.0,360.0,KG
شیخوپورہ,چنا دال,Grain,275.0,285.0,350.0,KG
شیخوپورہ,چنا سفید,Grain,260.0,272.0,360.0,KG
شیخوپورہ,گڑ,Grain,175.0,200.0,220.0,KG
شیخوپورہ,کھل بنولا,Grain,2500.0,2700.0,3000.0,Mann
شیخوپورہ,مکئی,Grain,1850.0,2250.0,2550.0,Mann
شیخوپورہ,مکئی سایلیج,Grain,16.0,21.0,26.0,KG
شیخوپورہ,ماش,Grain,485.0,500.0,540.0,KG
شیخوپورہ,ماش دال دیسی,Grain,220.0,230.0,260.0,KG
شیخوپورہ,ماش دال امپورٹڈ,Grain,555.0,575.0,630.0,KG
شیخوپورہ,مسور دال دیسی,Grain,180.0,190.0,230.0,KG
شیخوپورہ,مسور دال امپورٹڈ,Grain,310.0,325.0,370.0,KG
شیخوپورہ,مسور ثابت دیسی,Grain,210.0,260.0,300.0,KG
شیخوپورہ,باجرہ,Grain,4350.0,4500.0,4800.0,Mann
شیخوپورہ,مونگ,Grain,288.0,305.0,360.0,KG
شیخوپورہ,مونگ دال,Grain,344.0,358.0,390.0,KG
شیخوپورہ,سرسوں,Grain,5700.0,6000.0,6300.0,Mann
